source_updated_at,fetched_at,forecast_issue_datetime_utc,forecast_issue_date,forecast_issue_hour_utc,forecast_date,horizon_days,horizon_label,location,district,global_id_local,forecast_tmin_c,observed_tmin_c,error_tmin_c,abs_error_tmin_c,forecast_tmax_c,observed_tmax_c,error_tmax_c,abs_error_tmax_c,observed_source_type,observed_source,observation_status,forecast_source,calculated_at
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-19,3,D+3,Matosinhos,Porto,1130800,13.8,13.4,0.4,0.4,18.4,19.55,-1.15,1.15,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-20T12:39:30Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-20,4,D+4,Matosinhos,Porto,1130800,13.6,11.05,2.55,2.55,18.8,22.65,-3.85,3.85,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-21T13:32:56Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-21,5,D+5,Matosinhos,Porto,1130800,13,15,-2,2,20.7,24.55,-3.85,3.85,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-22T12:35:14Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-22,6,D+6,Matosinhos,Porto,1130800,13.6,17.8,-4.2,4.2,21,24.65,-3.65,3.65,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-23T11:36:26Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-23,7,D+7,Matosinhos,Porto,1130800,14.1,17.05,-2.95,2.95,20.1,25.45,-5.35,5.35,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-24T11:43:12Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-24,8,D+8,Matosinhos,Porto,1130800,14.3,15.95,-1.65,1.65,22.1,21.8,0.3,0.3,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-25T13:43:41Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-25,9,D+9,Matosinhos,Porto,1130800,15.8,16.15,-0.35,0.35,23.7,22.35,1.35,1.35,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-26T12:50:15Z
2026-05-17T07:55:32,2026-05-17T11:33:36Z,2026-05-17T07:55:32Z,2026-05-17,07:55,2026-05-17,0,D+0,Matosinhos,Porto,1130800,11.2,10.1,1.1,1.1,17.4,16.8,0.6,0.6,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-18T10:09:05Z
2026-05-17T07:55:32,2026-05-17T11:33:36Z,2026-05-17T07:55:32Z,2026-05-17,07:55,2026-05-18,1,D+1,Matosinhos,Porto,1130800,10.4,9.55,0.85,0.85,17,17.1,-0.1,0.1,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-19T13:32:31Z
2026-05-17T07:55:32,2026-05-17T11:33:36Z,2026-05-17T07:55:32Z,2026-05-17,07:55,2026-05-19,2,D+2,Matosinhos,Porto,1130800,12.5,13.4,-0.9,0.9,18.1,19.55,-1.45,1.45,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-20T12:39:30Z
